Topic 385 (0.00): literature, literary, criticism, texts, cultural, writing, critical, text, study, culture
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, control, responsibility, individual
Topic 354 (0.00): political, politics, party, parties, government, system, power, support, politicians, public
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 834 (0.00): act, legislation, protection, regulation, government, public, regulations, law, powers, protect
Topic 1155 (0.00): systems, design, system, development, techniques, computer, expert, analysis, engineering, technology
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, growing, grown, seed
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, mud, tide
Topic 1188 (0.00): street, road, house, lane, park, shop, town, west, square, green
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, prosecution, defence, defendant
Topic 616 (0.00): soils, sea, erosion, rock, surface, sand, weathering, water, rocks, soil
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, practice, clinical, patient
Topic 381 (0.00): museum, centre, exhibition, visitors, visit, shop, history, collection, park, display
Topic 1184 (0.00): town, towns, market, local, country, centre, city, houses, streets, villages
Topic 418 (0.00): tea, coffee, cup, table, cups, kitchen, mug, sat, kettle, drink
Topic 1276 (0.00): million, cent, total, billion, estimated, cost, half, increase, figures, figure
Topic 826 (0.00): pain, injury, leg, injuries, wound, broken, knee, ankle, hospital, blood
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, application, claim, county
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accountants, accountancy
Topic 1204 (0.00): genes, genetic, selection, gene, evolution, natural, generation, population, species, individual
Topic 1154 (0.00): pope, king, church, papal, bishop, archbishop, bishops, royal, clergy, innocent
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, paid, inland, amount
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, company, cost, loss
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, brother, parents, children
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, pay, accident
Topic 1375 (0.00): arms, legs, leg, body, feet, head, hands, left, arm, position
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, field, offshore, company, companies
Topic 613 (0.00): north, south, east, west, northern, southern, region, country, eastern, western
Topic 153 (0.00): horse, horses, riding, mare, ride, rider, stable, pony, saddle, foal
Topic 1037 (0.00): community, directive, commission, national, legislation, market, law, article, council, directives
Topic 1489 (0.00): local, authority, authorities, government, central, grant, services, grants, control, expenditure
Topic 95 (0.00): binding, protein, promoter, sites, site, transcription, figure, sequence, proteins, lanes
Topic 1029 (0.00): energy, power, electricity, gas, coal, fuel, oil, consumption, efficiency, demand
Topic 396 (0.00): vote, referendum, majority, votes, voted, assembly, resolution, approved, constitutional, favour
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, world, engine, fighter
Topic 353 (0.00): sex, sexual, women, woman, love, male, partner, female, relationship, intercourse
Topic 1224 (0.00): history, historical, historians, evidence, sources, past, historian, material, study, documents
Topic 513 (0.00): species, plants, plant, vegetation, forest, tropical, seeds, trees, animals, food
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, prizes
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, court
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, service, ministry
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 90 (0.00): planning, development, land, local, permission, authorities, town, authority, control, act
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, manufacturers, production, engine
Topic 218 (0.00): nuclear, power, reactor, plant, fuel, reactors, station, plutonium, energy, safety
Topic 205 (0.00): car, accident, hospital, crash, road, killed, died, police, injured, injuries
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, bitch, owners, vet, home
Topic 525 (0.00): meeting, committee, meetings, chairman, agreed, report, held, attend, discussion, minutes
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, station, news, broadcast, stations
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, set, flame, brigade, blaze
Topic 274 (0.00): garden, gardens, plants, gardening, house, gardener, trees, gardeners, lawn, planting
Topic 878 (0.00): roof, wall, tiles, timber, walls, floor, wood, damp, insulation, tile
