Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, level, unemployment, labour
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, fragment
Topic 1164 (0.00): conference, held, international, seminar, details, delegates, meeting, institute, conferences, university
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, caring
Topic 439 (0.00): people, land, west, colonial, colonies, century, trade, country, peoples, south
Topic 719 (0.00): people, person, feel, talk, talking, time, listen, listening, situation, feelings
Topic 222 (0.00): ghost, god, world, fairy, story, earth, legend, stories, evil, death
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, john, million, country
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, reaction
Topic 1345 (0.00): moral, morality, society, human, ethical, values, principles, ethics, view, morally
Topic 310 (0.00): building, floor, roof, buildings, space, main, entrance, windows, wall, built
Topic 1047 (0.00): job, career, jobs, recruitment, training, people, employment, experience, qualifications, employers
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, tone
Topic 680 (0.00): political, power, bureaucracy, elite, government, elites, control, institutions, society, bureaucratic
Topic 102 (0.00): community, local, people, education, communities, social, development, participation, action, support
Topic 108 (0.00): council, county, local, councillors, councillor, town, district, borough, committee, meeting
Topic 1107 (0.00): gun, shot, fired, fire, guns, shooting, rifle, shots, hit, firing
Topic 407 (0.00): bill, house, government, committee, debate, legislation, commons, parliament, amendment, time
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, events, concert, programme
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, trade, financial, firms
Topic 950 (0.00): computer, software, computers, program, programs, machine, machines, information, data, system
Topic 388 (0.00): modules, national, centres, certificate, development, qualifications, assessment, courses, vocational, awards
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, foreign, monetary, countries
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, character
Topic 314 (0.00): cost, market, marginal, costs, price, firm, firms, output, prices, social
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, dioxide, sulphur, carbon, acid, rain
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, sciences, knowledge, chemistry, physics
Topic 97 (0.00): consciousness, experience, mental, mind, perception, world, physical, sense, objects, conscious
Topic 598 (0.00): library, libraries, books, stock, public, book, librarian, information, librarians, collection
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, movie, audience
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, client, mas, letter
Topic 1082 (0.00): cells, samples, minutes, buffer, antibody, solution, cell, sections, serum, added
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, risk
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, teaching, knowledge, standard
Topic 1392 (0.00): growth, productivity, labour, output, rate, prices, capital, investment, increase, increased
Topic 451 (0.00): intelligence, maxim, secret, security, agents, operation, service, information, agent, government
Topic 256 (0.00): courts, decision, court, judicial, law, review, jurisdiction, power, justice, lord
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, psychiatric, schizophrenia, psychological, physical, behaviour
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, time, hotel, details, price, tour
Topic 1284 (0.00): god, christian, theology, bible, testament, religion, history, human, church, faith
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, assets, financial
Topic 250 (0.00): railway, steam, line, locomotive, train, station, trains, class, locomotives, railways
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, formula, driver
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, sentences, context, sentence, analysis, structure
Topic 793 (0.00): courses, day, sessions, contact, training, information, workshop, centre, local, school
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 7 (0.00): approach, strategy, approaches, process, strategies, model, adopted, nature, development, focus
Topic 78 (0.00): music, song, singing, songs, sing, played, playing, play, piano, sang
Topic 1104 (0.00): education, training, compact, development, enterprise, industry, partnership, employers, students, people
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, study, writing, studies
Topic 498 (0.00): site, development, planning, council, local, plans, building, land, scheme, build
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, people, cultural
Topic 1188 (0.00): street, road, house, lane, park, square, town, west, shop, green
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, structures
Topic 616 (0.00): soils, erosion, water, rock, surface, sand, sea, weathering, soil, lake
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, grown, grow
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, public, politicians
Topic 1155 (0.00): systems, design, system, development, techniques, computer, expert, analysis, engineering, technology
Topic 599 (0.00): river, water, bridge, bank, boat, lake, banks, rivers, mud, tide
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, prosecution, defence, defendant
Topic 1396 (0.00): party, congress, communist, committee, central, democratic, political, politburo, secretary, leadership
Topic 1375 (0.00): legs, arms, body, leg, feet, head, arm, hands, left, position
Topic 813 (0.00): knitting, knit, machine, stitches, yarn, needles, rows, stitch, row, pattern
Topic 1170 (0.00): medical, doctors, treatment, doctor, medicine, patients, health, clinical, practice, patient
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, blood, ankle, hospital
Topic 1276 (0.00): million, cent, total, billion, estimated, cost, half, figures, figure, annual
Topic 418 (0.00): tea, coffee, cup, table, cups, kitchen, mug, drink, kettle, sat
Topic 381 (0.00): museum, centre, visitors, exhibition, visit, history, shop, collection, display, park
Topic 1184 (0.00): town, towns, market, local, country, centre, city, houses, villages, streets
Topic 581 (0.00): father, mother, son, family, daughter, boy, child, brother, parents, time
Topic 1204 (0.00): genes, genetic, selection, gene, evolution, natural, generation, population, individual, species
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, loss, cost, company
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, offshore, field, companies, company
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, plaintiffs, application, judgment
Topic 834 (0.00): act, legislation, protection, regulation, government, public, law, regulations, powers, regulatory
Topic 1479 (0.00): audit, auditors, accounts, institute, companies, financial, firms, accountants, report, accountancy
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, consumption, nuclear
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 1154 (0.00): pope, king, papal, church, archbishop, bishop, royal, bishops, clergy, innocent
Topic 513 (0.00): species, plants, plant, vegetation, forest, seeds, tropical, trees, animals, food
Topic 1037 (0.00): community, directive, commission, national, legislation, market, council, article, law, directives
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, policyholder
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, paid, inland, act
Topic 95 (0.00): binding, protein, promoter, transcription, sites, site, figure, sequence, proteins, lanes
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, world, engine, pilot
Topic 90 (0.00): planning, development, land, local, permission, authorities, town, authority, control, act
Topic 205 (0.00): car, accident, hospital, crash, road, killed, died, injured, injuries, driver
Topic 218 (0.00): nuclear, power, reactor, plant, fuel, station, reactors, plutonium, energy, stations
Topic 353 (0.00): sex, sexual, women, woman, love, male, partner, relationship, intercourse, female
Topic 1224 (0.00): history, historical, historians, evidence, sources, past, historian, material, documents, study
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, production, manufacturers, sports
Topic 613 (0.00): north, south, west, east, northern, southern, region, country, eastern, central
Topic 743 (0.00): tennis, world, players, game, match, player, tournament, champion, final, play
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, received
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, staff, ministry
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, broadcast, station, stations
Topic 275 (0.00): advice, information, local, bureau, service, services, cab, contact, bureaux, office
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
Topic 153 (0.00): horse, horses, riding, mare, ride, rider, stable, saddle, pony, foal
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, constitutional, approved, parliament
Topic 878 (0.00): roof, tiles, wall, timber, walls, floor, wood, insulation, damp, tile
Topic 1496 (0.00): fire, smoke, flames, burning, fires, flame, set, burn, brigade, blaze
Topic 1207 (0.00): police, officers, policing, force, chief, crime, constable, policemen, public, officer
