Topic 156 (0.00): civil, government, service, department, servants, departments, public, ministers, policy, officials
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, house, authorities
Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, deputy, education, defence, national
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, cardiac, acute, failure, coronary
Topic 693 (0.00): factors, factor, influence, individual, conditions, environment, degree, nature, importance, extent
Topic 1164 (0.00): conference, held, international, seminar, details, delegates, institute, meeting, university, programme
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, nobility
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, retail, customer
Topic 86 (0.00): colour, red, colours, blue, white, green, yellow, black, light, dark
Topic 329 (0.00): church, century, cathedral, built, churches, building, nave, buildings, stone, columns
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, landing, feet
Topic 1241 (0.00): strike, union, workers, unions, action, industrial, trade, strikes, dispute, government
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, social, community, services
Topic 541 (0.00): countryside, conservation, national, nature, wildlife, environment, environmental, land, sites, natural
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, labour, unemployment, inflation
Topic 774 (0.00): century, local, land, poor, population, parish, wealth, labourers, rural, towns
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, shown, cells, fragment
Topic 629 (0.00): money, week, pay, paid, day, job, buy, cost, food, rent
Topic 486 (0.00): television, news, programme, radio, programmes, people, series, viewers, live, coverage
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, told, flight
Topic 393 (0.00): chemical, carbon, oxygen, organic, chemistry, molecules, compounds, hydrogen, water, form
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, life, people
Topic 439 (0.00): colonial, people, west, colonies, land, century, population, trade, peoples, south
Topic 108 (0.00): council, county, local, councillors, district, town, councillor, borough, committee, meeting
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, john, home, smith
Topic 1345 (0.00): moral, society, morality, human, ethical, values, ethics, principles, people, view
Topic 1047 (0.00): job, career, jobs, recruitment, people, training, experience, qualifications, employment, employers
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, time, amendment
Topic 451 (0.00): intelligence, maxim, secret, security, agents, information, operation, service, agent, government
Topic 719 (0.00): people, person, talk, feel, talking, listen, time, listening, ideas, feelings
Topic 1095 (0.00): film, films, cinema, production, movies, director, television, screen, audience, movie
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, risk
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, vocational, awards
Topic 1107 (0.00): gun, shot, guns, fired, fire, shooting, rifle, hit, shoot, bullets
Topic 1392 (0.00): growth, rate, productivity, prices, output, investment, cent, increase, labour, increased
Topic 310 (0.00): building, floor, roof, space, buildings, main, built, entrance, windows, ground
Topic 222 (0.00): ghost, god, fairy, story, earth, evil, night, legend, woman, gods
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, strings, tone, playing
Topic 680 (0.00): political, power, bureaucracy, elite, government, society, elites, public, institutions, control
Topic 950 (0.00): computer, software, computers, program, programs, machine, machines, system, information, systems
Topic 498 (0.00): site, development, planning, building, plans, council, local, land, build, scheme
Topic 314 (0.00): cost, marginal, market, price, costs, firm, firms, output, social, prices
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, acquisition, client
Topic 910 (0.00): students, university, student, college, education, universities, academic, campus, study, staff
Topic 102 (0.00): community, local, people, education, communities, social, development, participation, adult, action
Topic 1082 (0.00): cells, minutes, samples, antibody, solution, buffer, serum, added, cell, sections
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, markets
Topic 250 (0.00): railway, steam, line, locomotive, train, station, class, trains, locomotives, railways
Topic 414 (0.00): bank, banks, money, market, deposits, bills, rates, discount, financial, assets
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, time, price, brochure, hotels
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, author
Topic 984 (0.00): language, languages, linguistic, learning, foreign, spoken, written, teaching, knowledge, speak
Topic 598 (0.00): library, libraries, books, stock, public, book, librarian, collection, librarians, information
Topic 1155 (0.00): systems, design, system, development, computer, techniques, expert, engineering, technology, analysis
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, psychiatric, schizophrenia, loss, behaviour, physical
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 1284 (0.00): god, christian, theology, bible, human, testament, history, faith, religion, world
Topic 78 (0.00): music, song, singing, songs, sing, played, playing, play, piano, sang
Topic 1055 (0.00): festival, theatre, music, arts, tickets, hall, concert, centre, programme, events
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, formula, driver
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, politburo, secretary, leadership
Topic 793 (0.00): courses, sessions, day, training, centre, contact, local, information, programme, workshop
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, sciences, natural, chemistry
Topic 1104 (0.00): education, training, compact, development, enterprise, employers, industry, partnership, students, experience
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, people, cultural
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, rate, purposes, inland
Topic 1254 (0.00): evidence, trial, judge, jury, court, witness, witnesses, prosecution, defence, defendant
Topic 97 (0.00): consciousness, experience, mental, mind, world, perception, physical, sense, conscious, object
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 7 (0.00): approach, strategy, approaches, process, development, model, adopted, view, strategies, practice
Topic 462 (0.00): train, station, railway, platform, trains, journey, passengers, line, car, people
Topic 256 (0.00): courts, decision, law, court, review, judicial, jurisdiction, justice, lord, power
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, figure, figures, increase
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, firms, management
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, politicians, policy
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, tide, mud
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, grown, fields
Topic 616 (0.00): erosion, water, sea, rock, soils, surface, sand, weathering, rocks, lake
Topic 630 (0.00): assets, profit, account, accounts, net, company, accounting, balance, cost, loss
Topic 813 (0.00): knitting, knit, machine, stitches, yarn, needles, rows, stitch, row, pattern
Topic 385 (0.00): literature, literary, texts, criticism, cultural, text, critical, writing, study, studies
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, control, responsibility, individual
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, ankle, blood, damage
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
Topic 1170 (0.00): medical, doctors, treatment, medicine, doctor, patients, health, practice, clinical, patient
Topic 90 (0.00): planning, development, land, local, permission, authorities, town, control, authority, act
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, sat, kettle, drink
Topic 1037 (0.00): community, directive, commission, national, legislation, law, article, market, council, treaty
Topic 1188 (0.00): street, road, house, lane, town, park, west, shop, square, church
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 381 (0.00): museum, centre, exhibition, visitors, history, shop, visit, collection, display, special
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accountants, accountancy
Topic 95 (0.00): binding, protein, promoter, site, sites, transcription, figure, sequence, proteins, lanes
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, field, offshore, companies, company
Topic 1204 (0.00): genes, selection, genetic, evolution, gene, natural, generation, species, population, organisms
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, nuclear, consumption
Topic 1184 (0.00): town, towns, market, local, centre, city, country, houses, century, cities
