Topic 486 (0.00): television, programme, news, radio, programmes, viewers, people, series, coverage, live
Topic 719 (0.00): people, person, talk, feel, talking, time, listen, listening, feelings, ideas
Topic 439 (0.00): west, people, land, century, colonies, colonial, south, population, trade, peoples
Topic 403 (0.00): culture, cultural, society, world, western, cultures, modern, values, life, social
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 774 (0.00): century, land, local, parish, poor, population, wealth, rural, labourers, towns
Topic 1241 (0.00): strike, union, workers, action, unions, industrial, trade, dispute, strikes, government
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, people, sell
Topic 1047 (0.00): job, career, jobs, training, recruitment, employment, people, experience, qualifications, employers
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, john, country, thousands
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, social
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, energy
Topic 629 (0.00): money, week, pay, paid, day, buy, job, food, home, cost
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, labour, level, unemployment
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, columns, stone
Topic 102 (0.00): community, local, people, education, communities, social, development, participation, action, adult
Topic 416 (0.00): gene, expression, genes, sequence, human, sequences, protein, cells, shown, fragment
Topic 1345 (0.00): moral, society, morality, ethical, human, values, view, ethics, people, sense
Topic 680 (0.00): political, power, bureaucracy, elite, government, society, public, control, elites, institutions
Topic 388 (0.00): modules, national, certificate, centres, qualifications, development, assessment, courses, vocational, awards
Topic 310 (0.00): building, floor, buildings, roof, space, main, entrance, windows, ground, built
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, movie, set
Topic 950 (0.00): computer, software, computers, program, programs, machine, system, machines, data, information
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, pound
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, staff
Topic 1053 (0.00): science, scientific, scientists, research, scientist, world, knowledge, sciences, chemistry, natural
Topic 314 (0.00): cost, marginal, market, price, costs, firm, firms, output, prices, social
