Topic 598 (0.00): library, libraries, books, stock, public, book, collection, librarian, librarians, collections
Topic 314 (0.00): cost, marginal, price, market, costs, firm, firms, output, prices, social
Topic 1392 (0.00): growth, productivity, labour, rate, prices, output, capital, investment, increase, wages
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, adult
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, letter, acquisition
Topic 414 (0.00): bank, banks, money, deposits, market, bills, rates, discount, assets, financial
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, character
Topic 1284 (0.00): god, christian, theology, bible, human, testament, history, church, religion, faith
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, line, journey, carriage
Topic 250 (0.00): railway, steam, line, train, locomotive, station, trains, class, locomotives, railways
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 392 (0.00): race, racing, team, championship, world, grand, car, season, driver, formula
Topic 498 (0.00): site, development, planning, council, local, plans, building, land, scheme, build
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 793 (0.00): courses, day, sessions, training, contact, information, centre, programme, workshop, local
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, people, politburo, secretary
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, schizophrenia, psychiatric, physical, behaviour, psychological
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, brochure, time, price, tour
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 97 (0.00): consciousness, experience, mental, mind, perception, physical, world, sense, conscious, objects
Topic 616 (0.00): erosion, soils, surface, water, rock, sea, sand, weathering, soil, rocks
Topic 1276 (0.00): million, cent, total, billion, estimated, cost, half, increase, figure, figures
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, writing, study, studies
Topic 78 (0.00): music, song, singing, songs, sing, playing, play, played, piano, sang
Topic 1104 (0.00): education, training, compact, enterprise, development, industry, partnership, employers, students, support
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, view, focus, based
Topic 256 (0.00): courts, decision, court, law, judicial, review, jurisdiction, lord, justice, power
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, politicians, public
Topic 1155 (0.00): systems, design, system, development, techniques, expert, computer, engineering, analysis, user
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, defence, prosecution, witnesses, defendant
Topic 1184 (0.00): town, towns, market, local, country, centre, houses, villages, city, streets
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, fields, grown
Topic 826 (0.00): pain, injury, leg, wound, injuries, broken, knee, head, blood, hospital
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, power, people
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, company, loss, cost
Topic 813 (0.00): knitting, knit, machine, stitches, yarn, needles, rows, row, stitch, pattern
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, banks, lake, tide, stream
Topic 1188 (0.00): street, road, house, lane, park, town, west, shop, square, church
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, sat, mug, kettle, drink
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, patient, clinical, practice
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
