Topic 134 (0.00): union, trade, unions, industrial, workers, labour, bargaining, relations, employers, collective
Topic 84 (0.00): range, design, designed, designs, quality, prices, choice, sizes, price, wide
Topic 382 (0.00): company, companies, directors, business, shareholders, director, corporate, limited, management, act
Topic 79 (0.00): price, prices, market, buy, cost, sell, pay, bought, buying, offer
Topic 130 (0.00): management, managers, manager, people, business, company, profit, employees, job, team
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, data, compared
Topic 1219 (0.00): health, care, services, patients, service, practitioners, practice, authorities, practices, hospital
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, house, private
Topic 86 (0.00): colour, red, blue, colours, white, green, yellow, black, light, dark
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, waiting, time, told
Topic 859 (0.00): tears, life, pain, death, grief, cry, anger, crying, suffering, feeling
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 693 (0.00): factors, factor, influence, individual, environment, conditions, nature, degree, level, affect
Topic 541 (0.00): countryside, national, conservation, nature, wildlife, environmental, environment, trust, land, natural
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, landing, runway
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, customer, people
Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, acute, coronary, cardiac, disease
Topic 486 (0.00): television, programme, news, radio, programmes, people, live, viewers, series, coverage
Topic 629 (0.00): money, week, pay, paid, day, job, buy, home, cost, food
Topic 1164 (0.00): conference, held, international, seminar, delegates, details, meeting, university, institute, conferences
Topic 774 (0.00): century, land, local, poor, population, parish, wealth, labourers, rural, towns
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, nobility
Topic 1394 (0.00): minister, affairs, cabinet, prime, foreign, ministers, education, deputy, finance, national
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 439 (0.00): west, land, colonies, colonial, people, century, population, peoples, trade, south
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, columns, style
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, john, country, thousands
Topic 1047 (0.00): job, career, jobs, employment, training, recruitment, experience, people, qualifications, employers
Topic 1043 (0.00): demand, money, rate, supply, real, curve, wage, level, unemployment, labour
Topic 719 (0.00): people, person, feel, talk, talking, time, listen, listening, feelings, situation
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, dispute, strikes, government
Topic 1231 (0.00): care, people, home, homes, elderly, residential, carers, community, social, services
Topic 403 (0.00): culture, cultural, society, world, western, cultures, modern, values, social, people
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, fragment
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, staff
Topic 680 (0.00): political, power, bureaucracy, elite, government, public, society, institutions, elites, control
Topic 310 (0.00): building, floor, roof, space, buildings, main, ground, built, wall, entrance
Topic 314 (0.00): cost, marginal, market, costs, price, firm, firms, output, prices, social
Topic 1107 (0.00): gun, shot, fired, fire, guns, shooting, rifle, shoot, firing, bullets
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, firms, management
Topic 102 (0.00): community, local, people, education, communities, social, development, participation, action, adult
Topic 1345 (0.00): moral, morality, society, ethical, human, values, view, ethics, morally, principles
Topic 108 (0.00): council, county, local, councillors, councillor, town, district, borough, committee, people
Topic 222 (0.00): god, ghost, fairy, earth, world, night, woman, story, people, legend
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, character, writing, writer
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, pound
Topic 451 (0.00): intelligence, maxim, secret, security, agents, service, operation, information, agent, war
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, amendment, commons, time
Topic 950 (0.00): computer, software, computers, program, programs, machine, machines, information, data, system
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, audience, movie
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, concert, events, programme
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, tone
Topic 1082 (0.00): cells, samples, minutes, buffer, antibody, solution, sections, added, serum, cell
Topic 388 (0.00): modules, national, certificate, centres, qualifications, courses, development, assessment, vocational, awards
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, sciences, chemistry, theory
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, knowledge, written, teaching, standard
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, letter, acquisition
Topic 598 (0.00): library, libraries, books, stock, public, book, librarian, librarians, collection, collections
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, risk
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, dioxide, sulphur, carbon, acid, rain
Topic 1392 (0.00): growth, productivity, rate, output, labour, increase, capital, prices, wages, cent
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 414 (0.00): bank, banks, money, market, deposits, bills, discount, rates, assets, financial
Topic 392 (0.00): race, racing, team, championship, world, car, grand, season, formula, driver
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 78 (0.00): music, song, singing, songs, sing, played, play, playing, piano, sang
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, people, politburo, secretary
Topic 256 (0.00): courts, decision, court, law, judicial, review, jurisdiction, power, lord, justice
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 441 (0.00): depression, mental, symptoms, illness, disorder, psychiatric, schizophrenia, physical, behaviour, psychological
Topic 616 (0.00): surface, soils, water, erosion, sea, sand, rock, weathering, soil, lake
Topic 793 (0.00): courses, training, sessions, day, contact, local, information, centre, programme, school
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, writing, text, studies, study
Topic 250 (0.00): railway, steam, line, locomotive, train, station, class, trains, locomotives, railways
Topic 1284 (0.00): god, christian, theology, bible, testament, history, human, religion, church, faith
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, growing, barley
Topic 498 (0.00): site, development, planning, council, plans, local, building, land, scheme, build
Topic 1104 (0.00): education, training, development, compact, enterprise, industry, partnership, employers, students, experience
Topic 826 (0.00): pain, leg, injury, wound, injuries, broken, knee, left, ankle, blood
Topic 1155 (0.00): systems, design, system, development, techniques, expert, computer, analysis, engineering, technology
Topic 813 (0.00): knitting, knit, machine, stitches, needles, rows, yarn, row, stitch, pattern
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, brochure, details, price, time
Topic 97 (0.00): consciousness, experience, mental, mind, perception, world, physical, conscious, sense, objects
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, increase, figure, figures
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, country, people
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, died, parents, brother
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, prosecution, defence, defendant
Topic 7 (0.00): approach, strategy, approaches, process, model, adopted, strategies, development, nature, based
Topic 1375 (0.00): legs, arms, body, leg, feet, hands, head, left, arm, position
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, clinical, practice, patient
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, banks, lake, tide, mud
Topic 354 (0.00): political, party, politics, parties, government, system, support, power, politicians, public
Topic 630 (0.00): assets, profit, accounts, account, accounting, balance, net, company, cost, loss
Topic 1188 (0.00): street, road, house, lane, park, town, square, shop, west, green
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
Topic 1479 (0.00): audit, auditors, institute, companies, accounts, financial, firms, report, accountants, accounting
Topic 381 (0.00): museum, centre, visitors, exhibition, history, visit, shop, collection, display, park
Topic 1204 (0.00): genes, genetic, selection, evolution, gene, natural, generation, population, evolutionary, species
Topic 1037 (0.00): community, directive, commission, national, legislation, market, law, article, council, treaty
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, field, offshore, companies, company
Topic 418 (0.00): tea, coffee, cup, table, cups, kitchen, mug, kettle, sat, drink
Topic 1184 (0.00): town, towns, market, centre, country, local, city, houses, villages, streets
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 513 (0.00): species, plants, plant, vegetation, tropical, forest, seeds, trees, animals, found
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, plaintiffs, application, judgment
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, paid, act, inland
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, engine, display, fighter, world
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, pay
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, saddle, pony, foal
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, prizes
Topic 90 (0.00): planning, development, land, local, permission, authorities, authority, control, town, plans
Topic 95 (0.00): binding, protein, sites, promoter, transcription, figure, site, proteins, sequence, lanes
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, nuclear, cent
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, ministry, staff
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, play
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, station, broadcast, stations
Topic 834 (0.00): act, legislation, protection, regulation, public, government, regulations, law, powers, protect
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, flame, set, brigade, blaze
Topic 274 (0.00): garden, gardens, plants, gardening, gardener, house, trees, gardeners, lawn, planting
Topic 1207 (0.00): police, officers, policing, chief, force, crime, constable, policemen, public, officer
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 1182 (0.00): car, cars, motor, rover, ford, company, production, model, manufacturers, engine
Topic 1431 (0.00): nuclear, weapons, soviet, arms, treaty, missiles, defence, military, disarmament, union
Topic 279 (0.00): parliament, king, government, church, war, country, revolution, parliamentary, john, house
Topic 166 (0.00): words, word, meaning, language, meanings, means, phrase, sense, phrases, sentence
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
Topic 275 (0.00): advice, information, local, bureau, service, cab, services, contact, bureaux, office
Topic 396 (0.00): vote, referendum, majority, votes, resolution, voted, assembly, approved, constitutional, favour
Topic 353 (0.00): sex, sexual, women, woman, love, male, partner, female, relationship, sexuality
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, reactors, plutonium, station, energy, safety
Topic 205 (0.00): car, accident, hospital, crash, killed, road, injured, died, driver, driving
