Topic 97 (0.00): consciousness, mental, experience, mind, perception, physical, world, sense, conscious, objects
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, independence, people, country
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, study, text, writing, studies
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, prosecution, defence, defendant
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, nature, view, based
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, left, blood, ankle
Topic 381 (0.00): museum, centre, exhibition, visitors, visit, history, shop, collection, display, park
Topic 1375 (0.00): legs, arms, body, leg, feet, hands, head, left, arm, position
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, brother, parents, time
Topic 1154 (0.00): pope, king, papal, church, archbishop, bishop, royal, bishops, clergy, innocent
Topic 1170 (0.00): medical, doctors, doctor, medicine, treatment, patients, health, clinical, practice, patient
Topic 354 (0.00): political, politics, party, parties, government, system, power, support, public, politicians
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, balance, cost, loss, company
Topic 1184 (0.00): town, towns, market, local, country, centre, city, houses, villages, streets
Topic 1037 (0.00): community, directive, commission, national, legislation, market, article, law, council, directives
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accountants, accountancy
Topic 599 (0.00): river, water, bridge, bank, boat, banks, rivers, lake, tide, mud
Topic 1188 (0.00): street, road, house, lane, park, town, square, west, shop, church
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, kettle, sat, poured
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, plaintiffs, application, claim
Topic 1204 (0.00): genes, genetic, selection, evolution, gene, natural, generation, species, population, organisms
Topic 95 (0.00): binding, protein, promoter, transcription, sites, site, figure, sequence, proteins, lanes
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, paid, inland, act
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, cost
Topic 1075 (0.00): oil, gas, production, north, sea, exploration, field, offshore, companies, petroleum
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, engine, fighter, wing
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, prizes, judges
Topic 513 (0.00): species, plants, plant, vegetation, tropical, forest, seeds, trees, animals, food
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, consumption, nuclear
Topic 90 (0.00): planning, development, land, local, permission, authorities, authority, town, control, housing
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, station, broadcast, stations
Topic 153 (0.00): horse, horses, riding, ride, mare, rider, stable, pony, saddle, foal
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, station, reactors, plutonium, energy, safety
Topic 834 (0.00): act, legislation, protection, regulation, public, regulations, law, government, powers, control
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, play, final
Topic 396 (0.00): vote, referendum, majority, votes, resolution, voted, assembly, approved, favour, federal
Topic 275 (0.00): advice, information, local, bureau, service, services, cab, contact, bureaux, office
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, ministry, staff
Topic 1496 (0.00): fire, smoke, flames, burning, fires, burn, set, flame, brigade, water
Topic 353 (0.00): sex, sexual, women, woman, love, male, partner, sexuality, relationship, intercourse
Topic 1207 (0.00): police, officers, policing, chief, force, crime, constable, policemen, public, officer
Topic 681 (0.00): dog, dogs, puppy, pet, rottweiler, owner, owners, vet, bitch, breed
Topic 274 (0.00): garden, gardens, plants, gardening, gardener, house, trees, gardeners, planting, lawn
Topic 1143 (0.00): plaintiff, duty, negligence, damage, liability, defendant, act, action, liable, person
Topic 1431 (0.00): nuclear, weapons, soviet, arms, treaty, defence, missiles, disarmament, military, union
Topic 878 (0.00): roof, tiles, wall, timber, walls, floor, wood, insulation, damp, tile
Topic 575 (0.00): legal, law, solicitors, solicitor, aid, society, advice, profession, lawyers, services
Topic 279 (0.00): parliament, king, government, church, war, country, revolution, civil, parliamentary, act
