Topic 680 (0.00): political, power, bureaucracy, elite, government, society, public, elites, control, bureaucratic
Topic 393 (0.00): chemical, carbon, organic, oxygen, molecules, chemistry, compounds, hydrogen, water, form
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, character, writing
Topic 222 (0.00): god, ghost, fairy, legend, story, world, evil, earth, woman, stories
Topic 1107 (0.00): gun, shot, fire, fired, guns, shooting, shots, shoot, hit, rifle
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, audience, industry
Topic 310 (0.00): building, floor, space, roof, buildings, main, ground, entrance, wall, windows
Topic 1039 (0.00): environmental, pollution, environment, air, emissions, dioxide, sulphur, carbon, acid, rain
Topic 388 (0.00): modules, national, certificate, centres, development, qualifications, courses, assessment, vocational, awards
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, tone
Topic 407 (0.00): bill, house, government, committee, debate, legislation, commons, amendment, parliament, time
Topic 950 (0.00): computer, software, computers, program, programs, machine, system, information, machines, data
Topic 108 (0.00): council, county, local, councillors, councillor, town, district, borough, committee, people
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, monetary, foreign, countries
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, letter, client
Topic 314 (0.00): cost, market, marginal, price, costs, firm, firms, output, prices, social
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, risk
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, natural, sciences, chemistry
Topic 1055 (0.00): festival, theatre, music, arts, tickets, hall, centre, events, concert, programme
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, knowledge, written, teaching, standard
Topic 451 (0.00): intelligence, maxim, secret, agents, security, service, information, operation, agent, government
Topic 970 (0.00): business, businesses, companies, company, commercial, industry, enterprise, trade, firms, financial
Topic 1392 (0.00): growth, productivity, rate, output, labour, investment, capital, prices, increase, cent
Topic 392 (0.00): race, racing, team, world, championship, car, grand, season, formula, driver
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, support
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 1082 (0.00): cells, samples, minutes, buffer, solution, antibody, cell, serum, added, sections
Topic 414 (0.00): bank, banks, money, deposits, market, bills, rates, discount, assets, financial
Topic 598 (0.00): library, libraries, books, public, stock, book, librarian, collection, librarians, collections
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, details, brochure, price, tour
Topic 498 (0.00): site, development, planning, council, plans, local, building, land, build, scheme
Topic 250 (0.00): railway, steam, line, train, locomotive, station, class, trains, locomotives, railways
Topic 256 (0.00): courts, decision, court, judicial, review, law, jurisdiction, lord, power, justice
Topic 1284 (0.00): god, christian, theology, bible, testament, human, religion, history, church, faith
Topic 97 (0.00): experience, consciousness, mental, mind, perception, world, physical, sense, conscious, objects
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 793 (0.00): courses, day, training, contact, sessions, information, local, centre, programme, workshop
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 1396 (0.00): party, congress, communist, committee, central, political, people, democratic, politburo, secretary
Topic 78 (0.00): music, song, singing, songs, sing, played, playing, play, piano, sang
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, nature, based, development
Topic 441 (0.00): depression, mental, illness, disorder, symptoms, psychiatric, schizophrenia, psychological, loss, behaviour
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 1104 (0.00): education, training, compact, development, enterprise, partnership, employers, industry, students, experience
Topic 616 (0.00): erosion, surface, soils, water, rock, sand, sea, weathering, soil, rocks
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, grass, seed, grown, grain
Topic 354 (0.00): political, politics, party, parties, government, system, power, public, support, politicians
Topic 1155 (0.00): systems, design, system, development, techniques, expert, computer, engineering, analysis, user
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, writing, studies, study
Topic 1469 (0.00): national, nation, nationalism, political, nations, nationalist, world, people, independence, cultural
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, defence, prosecution, defendant
Topic 813 (0.00): knitting, knit, machine, stitches, needles, yarn, rows, row, stitch, pattern
Topic 826 (0.00): pain, injury, leg, injuries, wound, broken, knee, left, blood, head
Topic 1184 (0.00): town, towns, market, country, local, centre, city, houses, villages, streets
Topic 1375 (0.00): legs, arms, body, leg, feet, head, hands, left, arm, position
Topic 1276 (0.00): million, cent, total, billion, cost, estimated, half, figure, figures, increase
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, clinical, practice, patient
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, banks, lake, mud, tide
Topic 1188 (0.00): street, road, house, lane, town, park, shop, square, west, green
Topic 581 (0.00): father, mother, son, family, daughter, boy, child, brother, parents, sons
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, application, party, judgment, plaintiffs
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 834 (0.00): act, legislation, protection, regulation, public, regulations, government, law, powers, legal
Topic 1204 (0.00): genes, genetic, selection, evolution, gene, natural, generation, species, population, individual
Topic 630 (0.00): assets, profit, account, accounting, accounts, net, balance, loss, company, cost
Topic 381 (0.00): museum, centre, exhibition, visitors, history, shop, visit, collection, display, park
Topic 1154 (0.00): pope, king, papal, church, archbishop, bishop, royal, bishops, clergy, innocent
Topic 418 (0.00): tea, coffee, cup, table, cups, kitchen, mug, kettle, milk, drink
Topic 1037 (0.00): community, directive, commission, national, legislation, market, law, article, council, treaty
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, rate, paid, act, inland
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, financial, firms, report, accountants, accounting
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, medal
Topic 513 (0.00): species, plants, plant, vegetation, tropical, forest, seeds, trees, animals, found
Topic 396 (0.00): vote, referendum, majority, votes, voted, resolution, assembly, constitutional, approved, favour
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, engine, display, world, fighter
Topic 1075 (0.00): oil, gas, production, sea, north, exploration, offshore, field, companies, company
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, pay, policyholder
Topic 95 (0.00): binding, protein, promoter, transcription, sites, site, figure, sequence, proteins, lanes
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, demand, efficiency, consumption
Topic 241 (0.00): radio, television, broadcasting, programmes, channel, service, news, station, broadcast, stations
Topic 1309 (0.00): defence, military, forces, army, armed, force, troops, air, ministry, staff
Topic 1143 (0.00): plaintiff, negligence, duty, damage, liability, defendant, act, liable, action, person
Topic 90 (0.00): planning, development, land, local, permission, authorities, authority, town, control, act
Topic 613 (0.00): north, south, west, east, northern, southern, region, country, central, western
Topic 681 (0.00): dog, dogs, puppy, pet, owner, rottweiler, owners, bitch, vet, home
