Topic 200 (0.00): police, night, home, attack, car, officers, house, yesterday, arrested, people
Topic 374 (0.00): army, troops, attack, war, forces, allied, enemy, battle, front, armies
Topic 715 (0.00): people, person, lot, live, lives, world, country, life, feel, time
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, floor, hot, dirty, bath
Topic 1430 (0.00): rights, human, amnesty, government, prisoners, international, political, torture, released, prison
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, thatcher, lord, sir
Topic 967 (0.00): staff, department, management, manager, training, personnel, service, senior, responsibility, job
Topic 1195 (0.00): killed, government, people, police, security, attack, attacks, claimed, army, forces
Topic 243 (0.00): benefit, income, benefits, social, security, support, people, allowance, supplementary, system
Topic 728 (0.00): house, home, live, flat, living, cottage, lived, moved, couple, family
Topic 1197 (0.00): government, democracy, constitution, parliament, political, constitutional, power, people, system, democratic
Topic 74 (0.00): failure, lack, poor, failed, inadequate, result, failures, due, difficult, reasons
Topic 893 (0.00): golf, round, green, hole, shot, play, tour, won, tournament, par
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, mothers, pregnancy, women
Topic 277 (0.00): add, minutes, oil, cook, pan, chopped, serve, pepper, heat, salt
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, sergeant
Topic 1264 (0.00): paper, read, written, write, writing, pen, letter, letters, notes, hand
Topic 1059 (0.00): sites, site, roman, evidence, archaeological, buildings, settlement, excavation, found, remains
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, significant, standard, results
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, aid, country, nations
Topic 877 (0.00): beauty, beautiful, world, mind, life, eyes, light, dream, love, joy
Topic 50 (0.00): engine, power, rear, rover, front, range, fitted, speed, steering, car
Topic 1166 (0.00): knowledge, experience, understanding, skills, understand, ability, people, technical, skill, process
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, managing, board, manager, management
Topic 382 (0.00): company, companies, directors, business, shareholders, corporate, director, limited, management, act
Topic 134 (0.00): union, trade, unions, industrial, workers, bargaining, labour, relations, employers, collective
Topic 240 (0.00): desk, office, door, chair, sat, looked, morning, floor, papers, file
Topic 1330 (0.00): table, figures, average, figure, total, proportion, statistics, percentage, compared, period
Topic 84 (0.00): range, design, designed, designs, wide, choice, quality, prices, price, including
Topic 79 (0.00): price, prices, market, buy, cost, pay, sell, costs, bought, offer
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, trials, weeks, months, disease
Topic 1219 (0.00): health, care, services, patients, service, practice, practitioners, authorities, practices, hospital
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, board, officers, body, representatives
Topic 130 (0.00): management, managers, manager, people, company, business, profit, job, employees, senior
Topic 156 (0.00): civil, government, service, department, servants, departments, ministers, public, policy, minister
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, children, housing, unemployment
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
