Topic 624 (0.00): patients, patient, liver, treatment, bleeding, surgery, months, cardiac, disease, failure
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, people, customer
Topic 905 (0.00): aircraft, plane, pilot, flying, flight, air, fly, airport, feet, landing
Topic 1404 (0.00): taxi, hotel, driver, airport, left, car, cab, told, waiting, flight
Topic 403 (0.00): culture, cultural, society, world, western, cultures, values, modern, traditional, social
Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, stone, columns
Topic 1241 (0.00): strike, union, workers, unions, action, trade, industrial, dispute, strikes, government
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, services, social
Topic 439 (0.00): west, colonial, land, people, colonies, south, century, peoples, population, trade
Topic 629 (0.00): money, week, pay, paid, day, job, buy, home, rent, cost
Topic 86 (0.00): colour, red, colours, blue, white, green, yellow, black, light, dark
Topic 486 (0.00): television, programme, news, radio, programmes, viewers, series, people, live, coverage
Topic 719 (0.00): people, person, talk, feel, talking, time, listen, listening, feelings, ideas
Topic 1043 (0.00): demand, money, rate, supply, curve, real, unemployment, wage, labour, level
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 1047 (0.00): job, career, jobs, training, recruitment, people, experience, employment, qualifications, employers
Topic 222 (0.00): god, fairy, ghost, evil, world, legend, story, woman, earth, night
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, figure
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 680 (0.00): political, power, bureaucracy, elite, government, elites, society, control, public, institutions
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
Topic 108 (0.00): council, county, local, councillors, town, district, councillor, borough, committee, people
Topic 451 (0.00): intelligence, secret, maxim, security, agents, information, operation, service, agent, government
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, smith, thousands, john
Topic 310 (0.00): building, floor, roof, space, buildings, main, entrance, wall, built, ground
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, theory, sciences, century
Topic 1345 (0.00): moral, morality, society, ethical, human, values, view, ethics, morally, principles
Topic 1082 (0.00): cells, minutes, samples, solution, buffer, antibody, serum, added, sections, cell
Topic 314 (0.00): cost, marginal, market, price, costs, firm, firms, output, prices, efficiency
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 984 (0.00): language, languages, linguistic, spoken, learning, foreign, written, knowledge, teaching, standard
Topic 771 (0.00): aids, virus, infection, disease, infected, diseases, hepatitis, blood, people, risk
Topic 1107 (0.00): gun, shot, fired, guns, fire, shooting, hit, rifle, firing, shoot
Topic 1095 (0.00): film, films, cinema, production, movies, director, television, screen, movie, industry
Topic 388 (0.00): modules, national, certificate, centres, courses, development, qualifications, assessment, vocational, awards
Topic 598 (0.00): library, libraries, books, stock, public, collection, book, librarian, librarians, collections
