Topic 329 (0.00): church, cathedral, century, built, churches, building, nave, buildings, columns, stone
Topic 439 (0.00): west, colonial, land, people, colonies, century, population, south, trade, peoples
Topic 5 (0.00): farmers, farm, agricultural, agriculture, farming, land, farms, farmer, production, rural
Topic 1025 (0.00): shop, shops, store, stores, shopping, customers, buy, street, people, customer
Topic 393 (0.00): chemical, carbon, oxygen, organic, molecules, chemistry, compounds, hydrogen, water, form
Topic 1047 (0.00): job, career, jobs, people, recruitment, training, qualifications, experience, employment, employers
Topic 1073 (0.00): peasants, peasant, government, land, tsar, peasantry, reform, local, political, nobility
Topic 403 (0.00): culture, cultural, society, world, western, cultures, modern, values, social, life
Topic 86 (0.00): colour, red, colours, blue, white, green, yellow, black, light, dark
Topic 629 (0.00): money, week, pay, day, paid, buy, job, home, food, rent
Topic 486 (0.00): television, programme, news, radio, programmes, viewers, series, people, coverage, live
Topic 1241 (0.00): strike, union, workers, action, unions, industrial, trade, dispute, strikes, government
Topic 571 (0.00): oxford, people, reports, pounds, hundred, ago, thousand, home, john, smith
Topic 1043 (0.00): demand, money, rate, supply, real, curve, level, wage, labour, unemployment
Topic 1404 (0.00): hotel, taxi, driver, airport, left, cab, car, flight, waiting, told
Topic 719 (0.00): people, person, talk, feel, talking, time, listen, listening, ideas, feelings
Topic 416 (0.00): gene, expression, genes, sequence, sequences, human, protein, cells, shown, fragment
Topic 1231 (0.00): care, people, home, elderly, homes, residential, carers, community, social, services
Topic 222 (0.00): god, ghost, fairy, earth, world, story, evil, legend, woman, stories
Topic 407 (0.00): bill, house, government, committee, debate, legislation, parliament, commons, amendment, time
Topic 680 (0.00): political, power, bureaucracy, elite, government, elites, society, public, institutions, control
Topic 1345 (0.00): moral, morality, society, ethical, human, view, ethics, values, morally, principles
Topic 108 (0.00): council, county, local, councillors, town, councillor, district, borough, committee, people
Topic 388 (0.00): modules, national, certificate, centres, qualifications, assessment, courses, development, vocational, awards
Topic 310 (0.00): building, floor, roof, space, buildings, main, built, entrance, windows, wall
Topic 451 (0.00): intelligence, maxim, secret, agents, operation, security, information, service, agent, government
Topic 314 (0.00): cost, market, marginal, price, costs, firm, firms, output, prices, social
Topic 1039 (0.00): environmental, pollution, environment, emissions, air, dioxide, sulphur, carbon, acid, rain
Topic 950 (0.00): computer, software, computers, program, programs, machine, data, information, system, machines
Topic 771 (0.00): aids, virus, infection, disease, infected, hepatitis, diseases, blood, people, health
Topic 1392 (0.00): growth, rate, productivity, output, prices, labour, capital, investment, increase, cent
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, playing, strings, fender
Topic 1095 (0.00): film, films, cinema, production, movies, director, screen, television, audience, industry
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, courses
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, financial, management
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, concert, centre, programme, events
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, foreign, monetary, pound
Topic 498 (0.00): site, development, planning, council, plans, local, building, land, build, scheme
Topic 598 (0.00): library, libraries, books, stock, public, book, librarian, collection, librarians, information
Topic 250 (0.00): railway, steam, line, train, locomotive, station, trains, class, locomotives, railways
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, knowledge, teaching, standard
Topic 1053 (0.00): science, scientific, scientists, scientist, research, knowledge, world, sciences, chemistry, theory
Topic 954 (0.00): purchaser, vendor, sale, business, information, agreement, completion, mas, acquisition, warranties
Topic 1107 (0.00): gun, shot, fired, guns, fire, shooting, rifle, shots, firing, shoot
Topic 1284 (0.00): god, christian, theology, bible, testament, human, religion, history, church, world
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, character
Topic 1082 (0.00): cells, minutes, samples, antibody, buffer, solution, cell, serum, obtained, incubated
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, people, secretary, politburo
Topic 414 (0.00): bank, banks, money, market, deposits, bills, discount, rates, assets, financial
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, support
Topic 97 (0.00): experience, consciousness, mental, mind, perception, physical, world, sense, conscious, theory
Topic 793 (0.00): courses, day, sessions, contact, training, information, programme, centre, workshop, run
Topic 392 (0.00): race, racing, team, world, championship, grand, car, formula, driver, season
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, schizophrenia, psychiatric, psychological, loss, physical
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, time, brochure, details, price
Topic 462 (0.00): train, station, railway, platform, trains, car, passengers, journey, line, carriage
Topic 1139 (0.00): church, bishop, parish, priest, father, mass, vicar, diocese, priests, catholic
Topic 1104 (0.00): education, training, compact, development, enterprise, industry, partnership, employers, students, people
Topic 1155 (0.00): systems, design, system, development, expert, techniques, computer, analysis, engineering, technology
Topic 616 (0.00): soils, water, surface, erosion, rock, sand, sea, weathering, soil, lake
Topic 7 (0.00): approach, strategy, approaches, process, model, development, strategies, adopted, view, based
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, writing, study, studies
Topic 256 (0.00): courts, decision, court, law, judicial, review, jurisdiction, lord, justice, power
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
