Topic 314 (0.00): cost, marginal, market, price, costs, firm, firms, output, prices, social
Topic 1053 (0.00): science, scientific, scientists, scientist, research, world, knowledge, theory, sciences, century
Topic 1082 (0.00): cells, minutes, samples, antibody, buffer, solution, serum, added, obtained, incubated
Topic 102 (0.00): community, local, people, communities, education, social, development, participation, action, adult
Topic 984 (0.00): language, languages, linguistic, learning, spoken, foreign, written, knowledge, standard, teaching
Topic 910 (0.00): students, university, student, college, education, universities, academic, study, campus, staff
Topic 901 (0.00): guitar, sound, bass, guitars, neck, amp, sounds, strings, playing, guitarist
Topic 441 (0.00): depression, mental, illness, symptoms, disorder, psychiatric, schizophrenia, loss, psychological, behaviour
Topic 838 (0.00): exchange, rate, currency, rates, sterling, dollar, currencies, foreign, monetary, pound
Topic 954 (0.00): purchaser, vendor, sale, business, information, completion, agreement, mas, warranties, letter
Topic 250 (0.00): railway, steam, line, train, locomotive, station, trains, class, locomotives, railways
Topic 1107 (0.00): gun, shot, guns, fired, fire, shooting, hit, shots, shoot, rifle
Topic 1392 (0.00): growth, rate, productivity, labour, prices, output, increase, investment, capital, wages
Topic 414 (0.00): bank, banks, money, deposits, market, bills, rates, discount, assets, financial
Topic 196 (0.00): language, discourse, meaning, linguistic, grammar, context, sentences, sentence, analysis, structure
Topic 467 (0.00): story, fiction, book, novels, characters, reader, narrative, writer, writing, character
Topic 498 (0.00): site, development, planning, council, plans, local, building, land, build, scheme
Topic 1284 (0.00): god, christian, theology, bible, testament, history, human, religion, church, world
Topic 1055 (0.00): festival, theatre, music, arts, hall, tickets, centre, events, concert, programme
Topic 392 (0.00): race, racing, team, world, championship, grand, car, season, formula, driver
Topic 793 (0.00): courses, day, sessions, contact, training, information, programme, local, centre, workshop
Topic 970 (0.00): business, businesses, companies, company, industry, commercial, enterprise, trade, management, firms
Topic 1494 (0.00): holiday, travel, holidays, booking, accommodation, hotel, brochure, tour, price, details
Topic 462 (0.00): train, station, railway, platform, trains, car, journey, passengers, line, carriage
Topic 97 (0.00): experience, consciousness, mental, mind, perception, world, physical, sense, conscious, objects
Topic 78 (0.00): music, song, singing, songs, sing, played, play, playing, piano, sang
Topic 1396 (0.00): party, congress, communist, committee, central, political, democratic, politburo, secretary, people
Topic 1155 (0.00): systems, design, system, development, techniques, computer, expert, engineering, analysis, technology
Topic 599 (0.00): river, water, bridge, bank, boat, rivers, lake, banks, mud, waters
Topic 1139 (0.00): church, bishop, parish, priest, mass, father, vicar, diocese, priests, catholic
Topic 1104 (0.00): education, training, compact, development, enterprise, partnership, industry, employers, students, experience
Topic 256 (0.00): courts, decision, court, law, review, judicial, jurisdiction, lord, power, justice
Topic 385 (0.00): literature, literary, criticism, texts, cultural, critical, text, writing, study, studies
Topic 1254 (0.00): evidence, trial, jury, judge, court, witness, witnesses, prosecution, defence, defendant
Topic 739 (0.00): organisation, management, organisations, structure, authority, organisational, managers, responsibility, control, individual
Topic 873 (0.00): tax, income, capital, revenue, relief, gains, paid, rate, inland, purposes
Topic 616 (0.00): water, surface, soils, erosion, rock, sea, weathering, sand, soil, lakes
Topic 813 (0.00): knitting, knit, machine, stitches, yarn, needles, rows, stitch, row, pattern
Topic 354 (0.00): political, party, politics, parties, government, system, power, support, politicians, public
Topic 1079 (0.00): soil, crops, crop, land, wheat, farmers, seed, grass, growing, barley
Topic 826 (0.00): pain, leg, injury, injuries, wound, broken, knee, left, blood, ankle
Topic 7 (0.00): approach, strategy, approaches, process, model, strategies, adopted, based, view, effective
Topic 1154 (0.00): pope, king, church, papal, archbishop, bishop, royal, bishops, clergy, innocent
Topic 630 (0.00): assets, profit, accounts, account, accounting, net, company, balance, loss, cost
Topic 1469 (0.00): national, nation, nationalism, nations, political, nationalist, world, people, independence, cultural
Topic 1170 (0.00): medical, doctors, doctor, treatment, medicine, patients, health, clinical, practice, patient
Topic 1188 (0.00): street, road, house, lane, west, park, town, square, shop, green
Topic 863 (0.00): prince, royal, princess, queen, family, palace, marriage, duchess, public, couple
Topic 1204 (0.00): genes, selection, genetic, gene, evolution, natural, generation, species, population, individual
Topic 418 (0.00): tea, coffee, cup, cups, table, kitchen, mug, sat, kettle, drink
Topic 1376 (0.00): court, defendant, plaintiff, action, proceedings, defendants, party, claim, plaintiffs, judgment
Topic 1276 (0.00): million, cent, total, billion, estimated, cost, half, increase, figure, figures
Topic 1037 (0.00): community, directive, commission, national, legislation, article, market, law, council, treaty
Topic 1375 (0.00): arms, legs, leg, body, feet, head, hands, left, arm, position
Topic 90 (0.00): planning, development, land, local, permission, authorities, authority, control, town, act
Topic 1184 (0.00): town, towns, market, local, centre, country, houses, city, villages, streets
Topic 1075 (0.00): oil, gas, production, sea, north, exploration, offshore, field, companies, petroleum
Topic 381 (0.00): museum, centre, exhibition, visitors, history, visit, shop, collection, display, park
Topic 371 (0.00): aircraft, air, flying, museum, aviation, flight, display, engine, fighter, built
Topic 1479 (0.00): audit, auditors, institute, accounts, companies, firms, financial, report, accountants, accounting
Topic 581 (0.00): father, mother, son, family, boy, daughter, child, parents, brother, time
Topic 1143 (0.00): plaintiff, duty, negligence, damage, liability, defendant, act, liable, action, person
Topic 95 (0.00): binding, protein, promoter, transcription, figure, sites, site, sequence, proteins, lanes
Topic 1314 (0.00): insurance, policy, cover, damage, loss, insured, claim, claims, accident, policyholder
Topic 513 (0.00): species, plants, plant, vegetation, forest, tropical, seeds, animals, trees, found
Topic 1224 (0.00): history, historical, historians, evidence, past, sources, historian, material, documents, study
Topic 1029 (0.00): energy, power, electricity, gas, coal, oil, fuel, efficiency, consumption, nuclear
Topic 328 (0.00): award, awards, won, prize, competition, awarded, winner, winners, judges, prizes
Topic 218 (0.00): nuclear, power, reactor, fuel, plant, station, reactors, plutonium, energy, stations
Topic 205 (0.00): car, accident, hospital, crash, killed, road, died, injuries, injured, police
Topic 153 (0.00): horse, horses, riding, ride, rider, mare, stable, pony, saddle, foal
Topic 743 (0.00): tennis, world, players, game, match, player, champion, tournament, final, play
Topic 1207 (0.00): police, officers, chief, policing, force, crime, policemen, constable, public, forces
Topic 681 (0.00): dog, dogs, puppy, pet, owners, rottweiler, owner, bitch, vet, home
Topic 353 (0.00): sex, sexual, women, woman, love, male, partner, intercourse, sexuality, female
Topic 1431 (0.00): nuclear, weapons, soviet, arms, treaty, defence, missiles, military, disarmament, union
Topic 1182 (0.00): car, cars, motor, rover, ford, company, model, manufacturers, production, engine
